Periodo,Tienda,JEq,JEqAA,JEqMeta,Prod,ProdAA,ProdMeta
202601,P202 LurIn - PVH,63.943494623655944,67.30791666666663,66.9547957752322,99382,91253,94761.92313093493
202604,P259 Moquegua - PVH,63.93056250000066,64.54860416666668,60.397061823201135,93900,80689,92739.82958635133
202604,P139 Alameda Sur - PVS,63.91758333333518,60.91769444444446,64.20980276983204,102894,99593,99294.1072479902
202604,P084 Comas - PVH,63.76528472222296,68.44546527777779,63.84593494105465,92315,81761,89160.20296759033
202606,SO06 Tarapoto 2 - PVO,63.55766666666766,,84,88091,,81379.79163809524
202603,V094 Benavides - VIV,63.34331989247311,51.40182795698925,55.57085132952011,50926,64887,60844.93826179429
202604,P202 LurIn - PVH,63.327736111112536,70.82896527777778,66.9547957752322,95662,79197,86155.7195046197
202605,P202 LurIn - PVH,63.25516129032331,72.72581317204302,66.9547957752322,98067,80898,92209.99128764187
202602,P139 Alameda Sur - PVS,63.22765624999999,60.41765625000001,64.20980276983204,92783,89334,88091.93703920787
202603,P225 Cajamarca - PVH,63.18878360215054,58.419657258064504,56.429371630436094,130225,130467,159358.70456777766
202601,P259 Moquegua - PVH,62.71835349462366,63.989361559139795,60.397061823201135,91183,77811,89137.0375906584
202606,P202 LurIn - PVH,62.668520833333886,71.99096527777779,66.9547957752322,87256,73156,82387.83740925945
202602,P130 Chimbote - PVH,62.654791666666654,66.52177083333333,66.56902434528007,96583,86134,84219.14261535226
202603,P001 Los Olivos - PVH,62.616740591397836,61.102661290322565,56.772923994003754,100068,102802,104860.49734075293
202601,P139 Alameda Sur - PVS,62.525759408602156,60.02321236559135,64.20980276983204,95165,91415,93101.0527197674
202603,P125 SJ Lurigancho - PVH,62.482526881720446,59.98449596774196,55.81234047827294,123057,123658,131553.57762963322
202601,P724 Tumbes - PVH,62.46930779569891,64.26432795698922,63.04218861837782,99750,95903,107615.9849028822
202605,P037 Jockey Plaza - PVH,62.43567204301119,61.4314448924731,63.4231141798556,85576,83948,83878.59614578314
202604,P724 Tumbes - PVH,62.41438194444591,56.335659722222246,63.04218861837782,98019,111708,117010.55428062343
202603,P066 Ate - PVH,62.25709677419359,63.39765456989248,54.96669895587487,96560,102480,115277.34525383502
